Image	calcifications?	GRAIL min	GRAIL max	GCS min	GCS max	complete range min	complete range max	MI complete range	MI GCS	MI GRAIL	MI GRAIL – MI GCS	Observer 1 min	Observer 1 max	Observer 2 min	Observer 2 max	Observer 3 min	Observer 3 max	Observer 4 min	Observer 4 max	Observer 5 min	Observer 5 max	Observer 6 min	Observer 6 max	Observer 7 min	Observer 7 max	Observer 8 min	Observer 8 max	Observer 9 min	Observer 9 max	Observer 10 min	Observer 10 max	Observer 11 min	Observer 11 max	Observer 12 min	Observer 12 max	Observer 13 min	Observer 13 max
mesa015_1.tif	1	0	2885	106	3575	28	3469	0.4	0.39	0.47	0.08	106	2775	106	2795	106	2762	106	2696	113	2709	80	2657	172	3029	106	2795	117	2479	0	2844	192	2947	115	2784	203	2606
mesa015_2.tif	0	0	2840	0	3071	0	3071	0.33	0.33	0.34	0.01	23	2651	40	2737	132	2714	69	2714	161	2622	150	2789	106	3229	138	2726	0	2395	147	2314	236	2794	171	2693	59	2554
mesa015_3.tif	1	0	2708	0	3611	0	3611	0.27	0.27	0.35	0.08	0	2828	0	2875	0	3075	20	2863	200	2970	33	2821	0	3053	67	3115	0	2666	101	2470	33	3264	107	2953	19	2489
mesa015_4.tif	0	0	2841	0	2961	0	2961	0.41	0.41	0.41	0	56	2516	61	2633	72	2572	117	2644	217	2572	134	2577	0	3312	100	2811	218	2563	85	2739	317	2733	219	2571	121	2481
mesa015_5.tif	0	0	2920	0	3058	0	3058	0.47	0.47	0.48	0.01	0	2773	0	2909	17	2668	0	2434	86	2726	6	2651	0	2820	0	2686	106	2610	304	2900	143	2634	17	2769	14	2432
mesa016_5.tif	0	0	2897	0	3071	0	3071	0.34	0.34	0.34	0	69	2708	52	2783	0	2990	17	2691	127	2737	81	2783	0	2703	132	2829	187	2817	25	2729	253	2627	70	2788	101	2516
mesa016_6.tif	1	0	2648	0	3611	0	3611	0.23	0.23	0.31	0.08	0	2865	80	2955	33	2908	13	2932	194	3057	67	2876	0	3085	80	2810	279	3008	157	2663	254	2776	130	2949	0	2708
mesa016_7.tif	0	0	2933	17	2987	17	2970	0.49	0.46	0.49	0.03	51	2662	146	2734	51	2706	28	2701	236	2633	112	2538	0	3230	157	2706	261	2488	256	2448	292	2706	166	2693	138	2609
mesa071_1.tif	0	0	2555	47	3494	0	3447	0.22	0.21	0.29	0.08	47	2634	0	2710	19	2626	0	3000	66	2732	0	2922	17	3088	0	3019	0	2512	20	2474	2	2925	60	2940	123	2653
mesa092_1.tif	0	669	2563	39	2836	0	2797	0.31	0.31	0.33	0.02	703	2713	376	2686	687	2713	831	2692	756	2520	665	2558	0	2989	638	2675	545	2576	566	2780	39	2836	557	2644	727	2742
mesa131_1.tif	1	0	2340	0	4011	0	4011	0.13	0.13	0.32	0.19	0	2485	0	2421	110	2723	0	2764	169	2804	38	2782	371	2936	178	2797	15	2393	169	2208	0	2738	98	2705	26	2492
mesa131_2.tif	0	0	2626	0	3670	0	3670	0.18	0.18	0.4	0.22	0	2478	0	3020	0	3128	0	2632	68	2830	41	2857	0	2800	0	3101	20	2723	138	2725	20	2686	14	2845	0	2330
mesa131_3.tif	0	0	2531	0	3246	0	3246	0.24	0.24	0.35	0.11	0	2437	27	2523	24	2556	0	2750	85	2538	41	2666	0	2398	0	2502	26	2428	12	2650	0	2417	53	2467	23	2475
mesa131_4.tif	0	0	2354	0	3670	5	3670	0.18	0.18	0.42	0.24	0	2722	20	3067	7	2837	0	2695	81	2878	27	2695	0	2992	14	2243	0	2898	352	2379	85	2487	128	2754	28	2500
mesa131_5.tif	1	0	2402	0	4031	0	4031	0.12	0.12	0.29	0.17	0	2531	0	3071	0	2805	0	2931	140	2966	38	2955	0	3008	53	2829	0	2845	69	2773	0	3144	87	2836	0	2194
mesa132_1.tif	1	0	2575	0	3989	11	3989	0.13	0.13	0.29	0.16	0	2518	0	2811	44	2672	0	2862	117	2584	44	2745	0	3054	51	2738	69	2463	65	2604	0	2487	60	2742	43	2230
mesa132_2.tif	1	0	2650	0	3989	0	3989	0.14	0.14	0.32	0.18	0	2384	0	2504	37	2665	0	2697	154	2557	0	2735	7	3067	0	2676	159	2199	0	2625	0	2789	74	2577	69	2367
mesa132_4.tif	0	0	2674	0	3670	0	3670	0.17	0.17	0.39	0.22	20	2494	0	2636	74	2542	54	2888	95	2864	34	3040	0	3089	0	3018	170	2562	0	2100	19	2585	29	2703	6	2273
mesa132_5.tif	0	0	2705	0	3292	0	3292	0.26	0.26	0.35	0.09	0	2618	0	2697	6	2520	18	2667	74	2979	42	2586	61	2400	85	2475	0	2257	0	2370	0	2532	113	2589	0	2284
mesa133_1.tif	0	0	2592	0	3689	0	3689	0.18	0.18	0.4	0.22	7	2689	0	2678	34	2773	7	2837	95	3138	27	3002	49	2244	0	3081	12	2377	61	2290	0	2731	38	2864	9	2342
mesa133_2.tif	0	0	2406	0	3213	0	3213	0.32	0.32	0.43	0.11	0	2392	0	2632	0	2650	0	2482	96	2728	12	2457	0	2413	24	2763	183	2398	253	2425	0	2332	75	2449	0	2048
mesa133_3.tif	1	0	2571	0	4011	0	4011	0.11	0.11	0.28	0.17	44	2477	0	2671	29	2399	0	2591	213	2686	140	2620	36	2314	29	2767	0	2415	23	2436	74	2616	149	2628	106	2368
scenario1_10.tif	0	0	3106	201	3466	0	3265	0.38	0.36	0.4	0.04	126	2972	201	3197	100	2978	201	2935	251	3116	195	2872	52	2731	201	3097	206	2770	40	2905	138	2997	265	3038	154	2819
scenario1_11.tif	0	0	3298	112	3322	12	3210	0.42	0.4	0.42	0.02	102	2864	112	3150	12	3088	112	3002	180	3082	118	2900	195	2997	56	2888	115	3069	0	2995	186	2755	121	3063	0	2912
scenario1_12.tif	0	0	3179	0	3662	0	3662	0.43	0.43	0.45	0.02	41	3196	0	3179	20	3186	68	3446	101	3229	47	3385	137	2896	0	3202	47	3041	302	3384	0	3331	101	3170	94	3105
scenario1_13.tif	0	0	2997	207	3222	0	3015	0.41	0.39	0.45	0.06	120	2407	207	2680	108	2640	230	2517	236	2605	160	2459	61	3284	131	2558	311	2688	10	2103	178	2413	155	2499	206	2301
scenario2_7.tif	0	1233	3335	0	3605	0	3605	0.12	0.12	0.19	0.07	1446	3272	967	3368	1266	3188	1219	3504	1099	3392	766	3492	619	2686	400	3425	924	3327	415	3230	993	3418	1236	3334	1525	2985
scenario3_3.tif	1	0	3304	11	4060	0	4049	0.24	0.23	0.28	0.05	126	2866	71	3279	0	3122	37	3001	71	3272	59	2979	373	3332	0	3180	135	3212	227	2644	69	3068	57	3076	184	2558
scenario3_4.tif	1	0	3712	22	4093	0	4071	0.23	0.23	0.25	0.02	52	3044	0	3577	22	3307	37	3373	97	3486	59	3448	63	3103	37	3643	0	3285	5	3280	0	3396	31	3410	125	2732
scenario3_5.tif	1	0	3640	6	4093	0	4087	0.26	0.25	0.28	0.03	31	3122	6	3636	0	3336	0	3111	58	3553	0	3237	59	3553	0	3312	0	3440	194	3104	16	2827	0	3187	125	3028
scenario3_6.tif	1	0	3196	0	4093	0	4093	0.28	0.28	0.34	0.06	0	2706	0	3196	30	3196	0	2489	0	3200	0	2811	6	3091	0	3036	0	3051	364	3112	0	3111	0	3049	0	2595
scenario3_7.tif	0	0	3245	17	3809	0	3792	0.25	0.24	0.28	0.04	61	2729	17	2996	0	3024	0	2594	73	2982	63	2610	0	3343	42	2708	0	2582	201	2518	21	2700	87	2962	91	2663
scenario5_1.tif	0	584	3401	311	3413	0	3102	0.33	0.31	0.33	0.02	598	3043	584	3198	560	3150	657	2881	831	3156	556	2947	72	3191	500	2933	735	2948	581	2788	663	3084	721	3151	636	3030
scenario5_2.tif	0	210	3365	180	3425	34	3245	0.3	0.28	0.3	0.02	481	2962	286	3158	335	2890	435	3052	510	3238	404	2753	675	3156	292	2921	282	3343	109	2575	410	2971	419	2972	452	2766
scenario5_4.tif	0	21	3404	286	3404	0	3118	0.31	0.29	0.31	0.02	568	3056	286	3056	334	3110	292	3038	622	3008	490	2935	516	3112	442	3146	265	2572	269	2822	604	3104	494	3004	564	2900
tcga_1.tif	0	0	3211	187	3574	0	3387	0.31	0.3	0.32	0.02	200	2722	187	3303	187	3574	88	2735	232	3057	264	2644	490	3008	213	2883	367	3044	246	3035	142	3103	156	3117	298	2665
tcga_3.tif	0	0	3184	0	3694	0	3694	0.2	0.2	0.21	0.01	34	3020	0	3184	157	3279	82	3360	150	3129	34	3183	187	2971	102	3183	23	3067	93	3203	20	3210	126	3261	19	3117
tcga_4.tif	0	0	3530	186	3779	0	3593	0.27	0.26	0.29	0.03	193	3268	186	3343	152	3411	206	3247	295	3397	172	3424	48	3401	213	3343	339	3231	431	3503	84	3404	192	3417	227	3289
tcga_5.tif	0	0	3305	0	3779	0	3779	0.27	0.27	0.29	0.02	132	3048	0	3242	84	3117	118	3138	251	3340	139	3020	186	3250	0	3354	0	2809	112	3191	14	3194	100	3106	199	3122
tcga_7.tif	0	0	3590	73	3872	0	3799	0.27	0.26	0.28	0.02	66	3452	0	3590	57	3972	123	3516	158	3644	90	3331	139	3326	140	3688	31	3503	255	3661	28	3522	168	3712	83	3519
tcga_8.tif	1	0	3493	23	4063	0	4040	0.29	0.27	0.32	0.05	100	3638	23	3743	75	3944	98	3522	120	3549	53	3594	73	3493	16	3907	78	3690	184	3728	30	3787	171	3770	189	3517
tcga_9.tif	0	0	3308	78	3836	22	3758	0.17	0.17	0.2	0.03	78	3314	0	3548	0	3739	262	3660	198	3476	282	3455	68	3765	42	3476	11	3138	0	3294	49	3350	191	3550	129	3210
